Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Yrs,BA
Gavin Lux,LAD,2B,26,139,439,59,110,24,2,10,50,5,2,44,110,0,2,2,0.251,0.32,0.383,0.703,5,0.251
Ozzie Albies,ATL,2B,27,99,399,52,100,29,1,10,53,8,1,27,65,0,4,5,0.251,0.303,0.404,0.707,8,0.251
Masataka Yoshida,BOS,OF,31,108,378,45,106,21,0,10,56,2,0,27,52,0,2,14,0.28,0.349,0.415,0.764,2,0.28
Pete Crow-Armstrong,CHC,OF,22,123,372,46,88,13,6,10,47,27,3,21,98,8,3,6,0.237,0.286,0.384,0.67,2,0.237
Dylan Moore,SEA,OF,32,135,368,53,74,23,4,10,42,32,6,53,123,1,5,14,0.201,0.32,0.367,0.687,6,0.201
Josh Lowe,TB,OF,26,106,353,37,85,19,2,10,34,25,1,32,123,0,2,0,0.241,0.302,0.391,0.693,4,0.241
Spencer Torkelson,DET,1B,25,92,342,45,75,21,1,10,37,0,0,33,105,0,1,4,0.219,0.295,0.374,0.669,3,0.219
Jake Rogers,DET,C,29,102,310,43,61,16,1,10,36,1,0,22,99,0,2,3,0.197,0.255,0.352,0.607,4,0.197
Sean Murphy,ATL,C,30,72,233,19,45,5,1,10,25,0,0,27,67,0,1,3,0.193,0.284,0.352,0.636,6,0.193
Joey Gallo,WSH,OF,30,76,223,24,36,9,0,10,27,3,1,32,102,0,1,4,0.161,0.277,0.336,0.613,10,0.161
Ramon Laureano,ATL,OF,30,67,216,28,64,13,1,10,29,5,2,8,64,0,0,2,0.296,0.327,0.505,0.832,7,0.259
Andres Gimenez,CLE,2B,26,152,583,64,147,22,1,9,63,30,5,26,97,3,6,15,0.252,0.298,0.34,0.638,5,0.252
Jose Caballero,TB,2B,28,139,441,53,100,24,1,9,44,44,16,27,133,3,3,9,0.227,0.283,0.347,0.63,2,0.227
Jose Miranda,MIN,3B,26,121,401,44,114,28,4,9,49,2,2,18,66,0,4,6,0.284,0.322,0.441,0.763,3,0.284
Jared Triolo,PIT,3B,26,125,394,41,85,10,1,9,46,8,1,42,118,0,5,5,0.216,0.296,0.315,0.611,2,0.216
J.P. Crawford,SEA,SS,29,105,392,55,79,16,2,9,37,5,0,52,102,0,1,6,0.202,0.304,0.321,0.625,8,0.202
Wenceel Perez,DET,2B,24,112,389,51,94,16,6,9,37,9,5,32,92,2,1,1,0.242,0.3,0.383,0.683,1,0.242
Thairo Estrada,SF,2B,28,96,364,43,79,15,2,9,47,2,2,10,76,0,2,5,0.217,0.247,0.343,0.59,6,0.217
Connor Joe,PIT,OF,32,123,364,49,83,22,1,9,36,2,2,44,91,0,2,6,0.228,0.32,0.368,0.688,5,0.228
Santiago Espinal,CIN,2B,29,118,357,32,88,12,0,9,45,11,1,24,54,4,4,2,0.246,0.295,0.356,0.651,5,0.246
James Wood,WSH,OF,22,79,295,43,78,13,4,9,41,14,8,39,97,0,0,2,0.264,0.354,0.427,0.781,1,0.264
Parker Meadows,DET,OF,24,82,270,39,66,12,6,9,28,9,4,25,76,1,1,1,0.244,0.31,0.433,0.743,2,0.244
Jack Suwinski,PIT,OF,26,88,247,29,45,8,0,9,26,9,1,27,79,1,1,1,0.182,0.264,0.324,0.588,3,0.182
Jacob Stallings,COL,C,34,82,243,31,64,17,1,9,36,0,0,27,65,1,1,9,0.263,0.357,0.453,0.81,9,0.263
Yasmani Grandal,PIT,C,35,72,215,26,49,10,0,9,27,1,0,24,46,3,1,0,0.228,0.304,0.4,0.704,13,0.228
Jorge Soler,ATL,OF,32,49,152,27,37,11,0,9,24,0,0,24,44,0,1,3,0.243,0.356,0.493,0.849,11,0.241
Jake McCarthy,ARI,OF,27,142,442,66,126,13,7,8,56,25,6,31,78,5,3,14,0.285,0.349,0.4,0.749,4,0.285
Josh Rojas,SEA,3B,30,143,422,48,95,19,2,8,31,10,4,46,108,1,2,3,0.225,0.304,0.336,0.64,6,0.225
Patrick Bailey,SF,C,25,121,401,46,94,16,1,8,46,4,0,39,100,1,7,0,0.234,0.298,0.339,0.637,2,0.234
Kyle Isbel,KC,OF,27,136,384,62,88,13,8,8,42,11,2,27,88,8,2,5,0.229,0.287,0.367,0.654,4,0.229
Brayan Rocchio,CLE,SS,23,143,383,50,79,18,0,8,36,10,6,44,90,2,5,8,0.206,0.298,0.316,0.614,2,0.206
Max Kepler,MIN,OF,31,105,368,43,93,21,1,8,42,1,0,22,80,0,3,5,0.253,0.302,0.38,0.682,10,0.253
Lenyn Sosa,CWS,2B,24,100,351,28,89,13,0,8,35,3,1,12,77,2,1,3,0.254,0.283,0.359,0.642,3,0.254
Anthony Rizzo,NYY,1B,35,92,337,38,77,12,0,8,35,0,0,27,65,0,2,9,0.228,0.301,0.335,0.636,14,0.228
Will Brennan,CLE,OF,26,114,330,37,87,13,2,8,30,4,2,19,48,0,1,3,0.264,0.309,0.388,0.697,3,0.264
Miguel Amaya,CHC,C,25,117,328,32,76,13,2,8,47,0,0,23,62,5,3,4,0.232,0.288,0.357,0.645,2,0.232
Lane Thomas,WSH,OF,29,77,300,42,76,16,3,8,40,28,12,32,72,0,4,5,0.253,0.331,0.407,0.738,6,0.237
Ty France,SEA,1B,30,88,300,28,67,14,0,8,31,0,1,28,83,0,1,11,0.223,0.312,0.35,0.662,6,0.234
Oswaldo Cabrera,NYY,OF,25,109,299,47,74,11,0,8,36,4,2,21,63,2,3,1,0.247,0.296,0.365,0.661,3,0.247
David Hamilton,BOS,SS,27,98,294,47,73,17,1,8,28,33,4,22,80,0,0,1,0.248,0.303,0.395,0.698,2,0.248
Donovan Solano,SD,2B,36,96,283,31,81,13,0,8,35,2,1,22,65,0,1,3,0.286,0.343,0.417,0.76,11,0.286
Luis Campusano,SD,C,26,91,277,37,63,13,0,8,40,0,0,20,41,0,1,1,0.227,0.281,0.361,0.642,5,0.227
Edouard Julien,MIN,2B,25,94,266,36,53,9,0,8,21,6,0,33,102,0,0,2,0.199,0.292,0.323,0.615,2,0.199
Nick Gordon,MIA,OF,29,95,260,29,59,11,1,8,32,5,5,11,67,0,3,1,0.227,0.258,0.369,0.627,4,0.227
Victor Caratini,HOU,C,31,87,245,30,66,8,1,8,30,0,1,23,53,0,3,3,0.269,0.336,0.408,0.744,8,0.269
David Peralta,SD,OF,37,91,236,35,63,11,0,8,28,2,0,22,54,0,0,2,0.267,0.335,0.415,0.75,11,0.267
James McCann,BAL,C,34,66,214,27,50,9,0,8,31,1,0,13,56,0,4,2,0.234,0.279,0.388,0.667,11,0.234
Jose Trevino,NYY,C,31,74,209,26,45,5,0,8,28,1,0,20,41,1,2,2,0.215,0.288,0.354,0.642,7,0.215
Stuart Fairchild,CIN,OF,28,94,209,33,45,8,0,8,30,13,1,17,60,2,1,4,0.215,0.286,0.368,0.654,4,0.215
Nelson Velazquez,KC,OF,25,64,205,31,41,8,1,8,27,2,0,19,61,0,3,3,0.2,0.274,0.366,0.64,3,0.2
Justyn-Henry Malloy,DET,OF,24,71,202,18,41,7,1,8,21,1,1,23,85,0,2,3,0.203,0.291,0.366,0.657,1,0.203
Nico Hoerner,CHC,SS,27,151,582,86,159,35,1,7,48,31,6,44,66,0,3,12,0.273,0.335,0.373,0.708,6,0.273
Maikel Garcia,KC,3B,24,157,575,84,133,27,5,7,58,37,2,42,103,4,5,0,0.231,0.281,0.332,0.613,3,0.231
Brice Turang,MIL,2B,24,155,559,72,142,24,4,7,57,50,6,50,105,5,3,2,0.254,0.316,0.349,0.665,2,0.254
Max Schuemann,OAK,OF,27,133,396,55,87,14,0,7,34,14,1,47,119,5,4,7,0.22,0.311,0.308,0.619,1,0.22
Nick Gonzales,PIT,2B,25,94,359,42,97,19,3,7,49,5,3,18,74,1,4,5,0.27,0.311,0.398,0.709,2,0.27
Starling Marte,NYM,OF,36,94,335,46,90,13,3,7,40,16,1,27,81,3,2,3,0.269,0.327,0.388,0.715,13,0.269
Tyler Freeman,CLE,3B,25,118,330,48,69,14,1,7,32,11,6,28,53,3,3,19,0.209,0.305,0.321,0.626,3,0.209
Jake Cave,COL,OF,31,123,323,42,81,16,5,7,37,5,2,18,98,1,3,1,0.251,0.29,0.396,0.686,7,0.251
Mark Canha,DET,OF,35,93,320,42,74,17,0,7,38,4,0,42,79,0,4,11,0.231,0.337,0.35,0.687,10,0.242
Tyrone Taylor,NYM,OF,30,130,319,47,79,22,3,7,35,11,2,19,80,1,1,5,0.248,0.299,0.401,0.7,6,0.248
Mike Tauchman,CHC,OF,33,109,298,50,74,12,1,7,29,6,2,47,70,0,1,4,0.248,0.357,0.366,0.723,7,0.248
Christian Vazquez,MIN,C,34,93,294,29,65,10,0,7,27,3,1,11,65,5,4,1,0.221,0.248,0.327,0.575,10,0.221
Kevin Pillar,LAA,OF,35,83,259,37,61,14,1,7,41,10,3,12,61,0,2,9,0.236,0.291,0.378,0.669,12,0.229
Isiah Kiner-Falefa,TOR,OF,29,83,257,32,75,8,2,7,33,3,1,13,37,3,2,6,0.292,0.338,0.42,0.758,7,0.269
Edmundo Sosa,PHI,SS,28,90,249,39,64,12,4,7,31,7,1,13,66,1,2,8,0.257,0.313,0.422,0.735,6,0.257
Tyler Nevin,OAK,3B,27,87,245,22,50,10,0,7,20,1,0,25,64,0,3,5,0.204,0.288,0.331,0.619,4,0.204
Eddie Rosario,WSH,OF,33,67,219,26,40,11,0,7,26,8,1,13,54,1,2,0,0.183,0.226,0.329,0.555,10,0.175
Addison Barger,TOR,OF,24,69,208,20,41,11,0,7,28,2,0,14,60,0,1,1,0.197,0.25,0.351,0.601,1,0.197
Nick Senzel,WSH,OF,29,64,206,25,43,10,0,7,18,1,3,27,53,0,0,1,0.209,0.303,0.359,0.662,6,0.195
Pedro Pages,STL,C,26,68,202,19,48,3,2,7,27,2,0,13,58,1,2,0,0.238,0.281,0.376,0.657,1,0.238
Carson Kelly,DET,C,30,60,179,21,43,4,1,7,29,0,0,17,40,0,1,6,0.24,0.325,0.391,0.716,9,0.238
Lane Thomas,CLE,OF,29,53,172,23,36,10,0,7,23,4,2,12,65,0,1,2,0.209,0.267,0.39,0.657,6,0.237
Otto Lopez,MIA,SS,26,117,403,49,109,23,1,6,39,20,4,25,75,2,2,1,0.27,0.313,0.377,0.69,3,0.27
Blake Perkins,MIL,OF,28,121,383,54,92,13,2,6,43,23,5,42,108,0,6,3,0.24,0.316,0.332,0.648,2,0.24
Freddy Fermin,KC,C,29,111,339,40,92,14,0,6,36,2,0,23,66,1,3,2,0.271,0.319,0.366,0.685,3,0.271
Abraham Toro,OAK,3B,27,94,337,34,81,17,1,6,26,4,2,20,62,2,0,5,0.24,0.293,0.35,0.643,6,0.24
Jonny DeLuca,TB,OF,26,107,332,29,72,12,4,6,31,16,6,24,77,2,0,4,0.217,0.278,0.331,0.609,2,0.217
Miguel Rojas,LAD,SS,35,103,307,41,87,21,0,6,36,8,2,23,34,2,2,3,0.283,0.337,0.41,0.747,11,0.283
Justin Turner,TOR,1B,39,91,301,37,77,17,0,6,31,0,2,39,60,0,3,6,0.256,0.35,0.372,0.722,16,0.259
Luis Rengifo,LAA,2B,27,78,283,41,85,13,1,6,30,24,7,16,44,1,0,4,0.3,0.347,0.417,0.764,6,0.3
Javier Baez,DET,SS,31,80,272,25,50,12,0,6,37,8,1,12,69,0,3,2,0.184,0.221,0.294,0.515,11,0.184
Dominic Smith,BOS,1B,29,84,249,29,59,20,0,6,34,1,1,25,65,0,0,4,0.237,0.317,0.39,0.707,8,0.233
Juan Yepez,WSH,OF,26,62,226,32,64,15,0,6,26,2,1,18,42,1,3,1,0.283,0.335,0.429,0.764,3,0.283
Enmanuel Valdez,BOS,2B,25,76,201,23,43,12,0,6,28,1,1,17,53,1,4,0,0.214,0.27,0.363,0.633,2,0.214
Danny Jansen,TOR,C,29,62,198,27,42,13,0,6,18,0,0,25,42,0,3,2,0.212,0.303,0.369,0.672,7,0.205
Jason Heyward,LAD,OF,35,63,173,25,36,10,2,6,28,4,0,17,36,0,3,4,0.208,0.289,0.393,0.682,15,0.211
Paul DeJong,KC,SS,31,37,108,15,24,3,0,6,15,0,1,9,44,0,2,0,0.222,0.277,0.417,0.694,8,0.227
Jake Fraley,CIN,OF,29,116,350,44,97,19,2,5,26,20,5,26,70,0,3,3,0.277,0.33,0.386,0.716,6,0.277
Alejandro Kirk,TOR,C,25,103,340,23,86,19,1,5,54,0,0,35,51,0,9,2,0.253,0.319,0.359,0.678,5,0.253
Gabriel Moreno,ARI,C,24,97,305,39,81,18,1,5,45,3,1,41,52,0,3,2,0.266,0.353,0.38,0.733,3,0.266
Elias Diaz,COL,C,33,84,304,26,82,18,0,5,36,0,0,17,64,0,2,4,0.27,0.315,0.378,0.693,10,0.265
Gio Urshela,DET,3B,33,92,300,25,73,10,1,5,37,0,0,19,49,0,5,1,0.243,0.286,0.333,0.619,9,0.25
Tommy Pham,CWS,OF,36,70,271,33,72,14,1,5,19,6,3,25,63,0,0,1,0.266,0.33,0.38,0.71,11,0.248
Michael Taylor,PIT,OF,33,113,269,35,52,9,1,5,21,12,1,23,105,4,4,0,0.193,0.253,0.29,0.543,11,0.193
Richie Palacios,TB,OF,27,92,264,46,59,8,1,5,21,19,1,45,67,0,1,5,0.223,0.346,0.318,0.664,3,0.223
Chas McCormick,HOU,OF,29,94,242,32,51,6,1,5,27,8,2,17,72,1,3,4,0.211,0.271,0.306,0.577,4,0.211
Ivan Herrera,STL,C,24,72,229,37,69,12,1,5,27,5,0,25,53,0,2,2,0.301,0.372,0.428,0.8,3,0.301
Willie Calhoun,LAA,OF,29,68,229,26,56,16,0,5,20,0,1,23,31,0,1,1,0.245,0.315,0.38,0.695,8,0.245
Eloy Jimenez,CWS,DH,27,65,229,18,55,9,0,5,16,3,0,18,47,0,1,1,0.24,0.297,0.345,0.642,6,0.238
Andy Ibanez,DET,2B,31,99,224,30,54,9,1,5,32,2,3,15,63,0,2,3,0.241,0.295,0.357,0.652,4,0.241
Kyle Farmer,MIN,SS,34,107,215,26,46,13,1,5,25,3,5,19,49,0,2,6,0.214,0.293,0.353,0.646,8,0.214
Randy Arozarena,SEA,OF,29,54,199,32,46,14,0,5,23,4,3,28,68,0,1,11,0.231,0.356,0.377,0.733,6,0.219
Ty France,CIN,1B,30,52,179,18,45,10,0,5,20,1,0,10,31,0,4,2,0.251,0.292,0.391,0.683,6,0.234
Justin Turner,SEA,1B,39,48,159,22,42,7,0,5,24,0,0,20,35,0,4,7,0.264,0.363,0.403,0.766,16,0.259
Josh Bell,ARI,1B,32,41,140,24,39,5,1,5,22,0,1,17,32,0,0,1,0.279,0.361,0.436,0.797,9,0.249
Luis Arraez,SD,2B,27,117,500,61,159,24,2,4,41,9,3,16,18,1,1,6,0.318,0.346,0.398,0.744,6,0.314
Mauricio Dubon,HOU,OF,30,137,402,45,108,25,0,4,47,3,2,16,55,3,5,2,0.269,0.296,0.361,0.657,6,0.269
Ke'Bryan Hayes,PIT,3B,27,96,365,38,85,9,0,4,25,11,2,23,75,0,4,4,0.233,0.283,0.29,0.573,5,0.233
Brandon Drury,LAA,2B,32,97,325,28,55,7,0,4,15,1,0,27,81,0,3,5,0.169,0.242,0.228,0.47,10,0.169
Manuel Margot,MIN,OF,30,129,315,37,75,17,1,4,31,5,0,21,54,1,3,3,0.238,0.289,0.337,0.626,9,0.238
Bo Bichette,TOR,SS,26,81,311,29,70,16,1,4,31,5,1,20,64,0,2,3,0.225,0.277,0.322,0.599,6,0.225
Nick Fortes,MIA,C,27,110,308,28,70,16,0,4,29,0,1,11,41,7,5,4,0.227,0.259,0.318,0.577,4,0.227
Miguel Andujar,OAK,OF,29,75,302,31,86,14,1,4,30,3,2,13,42,0,1,3,0.285,0.32,0.377,0.697,8,0.285
Zach McKinstry,DET,2B,29,118,297,32,64,14,5,4,23,16,0,24,69,0,2,2,0.215,0.277,0.337,0.614,5,0.215
Jose Iglesias,NYM,SS,34,85,270,39,91,16,1,4,26,6,2,12,39,0,1,8,0.337,0.381,0.448,0.829,12,0.337
Adam Frazier,KC,2B,32,104,262,35,53,10,1,4,22,3,0,22,59,3,0,7,0.202,0.282,0.294,0.576,9,0.202
Brett Wisely,SF,2B,25,91,252,25,60,13,1,4,31,2,3,13,65,2,3,2,0.238,0.278,0.345,0.623,2,0.238
Noelvi Marte,CIN,3B,23,66,229,24,48,9,0,4,18,9,3,9,75,0,1,3,0.21,0.248,0.301,0.549,2,0.21
Victor Robles,SEA,OF,27,77,229,41,75,20,0,4,26,30,1,16,44,5,2,10,0.328,0.393,0.467,0.86,8,0.307
Elehuris Montero,COL,3B,26,67,224,23,46,10,0,4,28,0,0,20,56,0,3,0,0.205,0.267,0.304,0.571,3,0.205
Wilmer Flores,SF,1B,33,71,214,19,44,12,0,4,26,0,0,20,33,0,5,3,0.206,0.277,0.318,0.595,12,0.206
Chris Taylor,LAD,OF,34,87,213,28,43,7,1,4,23,5,1,28,76,1,2,2,0.202,0.298,0.3,0.598,11,0.202
Kevin Kiermaier,TOR,OF,34,82,200,24,39,7,2,4,18,5,0,10,66,5,1,1,0.195,0.236,0.31,0.546,12,0.197
Gio Urshela,ATL,3B,33,36,132,9,35,9,0,4,15,0,0,4,23,0,0,0,0.265,0.287,0.424,0.711,9,0.25
Emmanuel Rivera,BAL,3B,28,27,64,9,20,3,1,4,14,0,0,6,18,0,2,1,0.313,0.37,0.578,0.948,4,0.238
Jason Heyward,HOU,OF,35,24,55,8,12,2,0,4,9,1,0,5,17,0,0,0,0.218,0.283,0.473,0.756,15,0.211
Jacob Young,WSH,OF,25,150,468,75,120,24,1,3,36,33,10,30,102,9,2,12,0.256,0.316,0.331,0.647,2,0.256
Johan Rojas,PHI,OF,24,120,338,47,82,12,3,3,32,25,4,13,69,8,0,4,0.243,0.279,0.322,0.601,2,0.243
Geraldo Perdomo,ARI,SS,25,98,337,61,92,21,2,3,37,9,1,36,58,7,5,3,0.273,0.344,0.374,0.718,4,0.273
Ben Rortvedt,TB,C,27,112,290,27,66,13,0,3,31,1,0,34,88,0,0,4,0.228,0.317,0.303,0.62,3,0.228
Kevin Newman,ARI,SS,31,111,288,41,80,17,1,3,28,8,1,15,48,6,2,0,0.278,0.311,0.375,0.686,7,0.278
Joey Meneses,WSH,DH,32,76,281,19,65,11,0,3,42,2,0,21,63,0,6,5,0.231,0.291,0.302,0.593,3,0.231
Ezequiel Duran,TEX,SS,25,92,268,26,66,11,0,3,20,1,2,14,63,0,1,2,0.246,0.288,0.321,0.609,3,0.246
Nolan Jones,COL,OF,26,79,256,28,58,13,1,3,28,5,4,36,91,1,3,1,0.227,0.321,0.32,0.641,3,0.227
Isaac Paredes,CHC,3B,25,52,179,23,40,6,0,3,25,1,0,24,37,0,4,5,0.223,0.325,0.307,0.632,5,0.238
Christopher Morel,TB,OF,25,49,173,13,33,4,2,3,9,1,2,14,56,0,1,2,0.191,0.258,0.289,0.547,3,0.196
Bryan De La Cruz,PIT,OF,27,44,160,17,32,6,0,3,17,2,1,4,52,0,3,1,0.2,0.22,0.294,0.514,4,0.233
Austin Hays,BAL,OF,29,63,157,18,40,13,0,3,14,0,1,9,40,1,2,6,0.255,0.316,0.395,0.711,7,0.255
Whit Merrifield,PHI,2B,35,53,156,21,31,4,1,3,11,11,1,15,19,1,0,2,0.199,0.277,0.295,0.572,9,0.222
Jesse Winker,NYM,OF,31,44,115,12,28,5,0,3,13,0,0,10,22,0,1,3,0.243,0.318,0.365,0.683,8,0.253
Dylan Carlson,TB,OF,26,37,114,7,25,2,0,3,14,2,0,10,38,0,0,3,0.219,0.299,0.316,0.615,5,0.209
Robbie Grossman,TEX,OF,35,46,105,13,25,4,0,3,10,1,0,16,25,0,1,0,0.238,0.336,0.362,0.698,12,0.212
Danny Jansen,BOS,C,29,30,80,8,15,0,0,3,6,0,0,15,19,0,0,1,0.188,0.323,0.3,0.623,7,0.205
Eddie Rosario,ATL,OF,33,24,78,7,12,1,0,3,9,1,0,3,23,1,2,0,0.154,0.181,0.282,0.463,10,0.175
Miguel Vargas,LAD,2B,24,30,71,11,17,4,0,3,9,1,0,8,16,0,1,0,0.239,0.313,0.423,0.736,3,0.15
Sal Frelick,MIL,OF,24,145,475,66,123,22,4,2,32,18,3,39,78,2,1,4,0.259,0.32,0.335,0.655,2,0.259
Michael Siani,STL,OF,25,124,298,42,68,7,2,2,20,20,3,21,92,11,1,3,0.228,0.285,0.285,0.57,3,0.228
Amed Rosario,TB,SS,28,76,264,22,81,17,3,2,26,9,4,7,48,0,1,3,0.307,0.331,0.417,0.748,8,0.28
Vidal Brujan,MIA,2B,26,102,248,32,55,14,2,2,16,5,6,25,54,1,0,4,0.222,0.303,0.319,0.622,4,0.222
DJ LeMahieu,NYY,3B,36,67,201,19,41,5,0,2,26,0,1,19,35,1,6,1,0.204,0.269,0.259,0.528,14,0.204
Joey Loperfido,TOR,OF,25,43,137,13,27,8,3,2,9,2,1,6,52,0,0,1,0.197,0.236,0.343,0.579,1,0.214
Miguel Vargas,CWS,2B,24,42,135,11,14,3,0,2,7,2,1,17,41,0,2,3,0.104,0.217,0.17,0.387,3,0.15
Joey Loperfido,HOU,OF,25,38,106,11,25,5,1,2,16,2,1,7,43,1,1,3,0.236,0.299,0.358,0.657,1,0.214
Carson Kelly,TEX,C,30,31,102,11,24,5,0,2,8,0,0,8,15,0,0,0,0.235,0.291,0.343,0.634,9,0.238
Tommy Pham,KC,OF,36,23,101,9,23,3,1,2,8,1,0,3,27,0,0,0,0.228,0.25,0.337,0.587,11,0.248
Austin Hays,PHI,OF,29,22,78,8,20,5,0,2,6,2,1,0,19,0,0,2,0.256,0.275,0.397,0.672,7,0.255
Tommy Pham,STL,OF,36,23,68,7,14,3,1,2,12,0,0,7,16,0,1,1,0.206,0.286,0.368,0.654,11,0.248
Nicky Lopez,CWS,2B,29,124,398,40,96,12,3,1,21,5,7,37,67,6,0,4,0.241,0.312,0.294,0.606,6,0.241
Ildemaro Vargas,WSH,3B,33,97,272,21,67,16,0,1,30,9,4,19,31,5,5,2,0.246,0.295,0.316,0.611,8,0.246
Xavier Edwards,MIA,2B,25,70,265,39,87,12,5,1,26,31,4,33,52,1,4,0,0.328,0.397,0.423,0.82,2,0.328
Austin Martin,MIN,OF,25,93,233,41,59,18,1,1,16,7,3,20,47,2,0,2,0.253,0.318,0.352,0.67,1,0.253
Dominic Fletcher,CWS,OF,27,72,223,14,46,8,0,1,17,0,0,11,58,2,1,3,0.206,0.252,0.256,0.508,2,0.206
Taylor Walls,TB,SS,28,84,218,27,40,5,3,1,14,16,4,31,67,0,3,0,0.183,0.282,0.248,0.53,4,0.183
Isiah Kiner-Falefa,PIT,OF,29,50,208,21,50,10,2,1,10,8,1,3,41,0,0,4,0.24,0.265,0.322,0.587,7,0.269
Emmanuel Rivera,MIA,3B,28,97,201,15,43,6,1,1,15,2,0,20,51,1,3,4,0.214,0.294,0.269,0.563,4,0.238
Harold Ramirez,TB,DH,30,48,164,21,44,3,0,1,13,5,2,3,33,0,1,1,0.268,0.284,0.305,0.589,6,0.261
Nick Ahmed,SF,SS,34,52,155,13,36,6,1,1,15,1,1,10,35,3,3,1,0.232,0.278,0.303,0.581,11,0.229
Whit Merrifield,ATL,2B,35,42,137,23,34,5,2,1,4,6,2,20,33,3,0,1,0.248,0.348,0.336,0.684,9,0.222
Eloy Jimenez,BAL,DH,27,33,95,7,22,5,0,1,7,0,0,4,23,0,0,1,0.232,0.27,0.316,0.586,6,0.238
Harold Ramirez,WSH,DH,30,25,74,7,18,4,1,1,16,1,0,2,17,0,0,1,0.243,0.273,0.365,0.638,6,0.261
Ramon Laureano,CLE,OF,30,31,70,7,10,3,0,1,4,3,1,7,32,0,1,5,0.143,0.265,0.229,0.494,7,0.259
Kevin Kiermaier,LAD,OF,34,34,59,7,12,2,1,1,8,1,2,2,20,2,0,1,0.203,0.242,0.322,0.564,12,0.197
Amed Rosario,CIN,SS,28,22,57,6,9,0,0,1,4,3,0,1,23,0,0,1,0.158,0.186,0.211,0.397,8,0.28
Nick Ahmed,LAD,SS,34,17,48,6,11,0,0,1,2,1,0,1,14,0,0,0,0.229,0.245,0.292,0.537,11,0.229
Kevin Pillar,CWS,OF,35,17,25,1,4,2,0,1,4,2,0,4,8,1,1,1,0.16,0.29,0.36,0.65,12,0.229
Elias Diaz,SD,C,33,12,21,1,4,2,0,1,3,0,0,3,5,0,0,0,0.19,0.292,0.429,0.721,10,0.265
Tim Anderson,MIA,SS,31,65,234,16,50,3,0,0,9,4,4,7,68,0,0,0,0.214,0.237,0.226,0.463,9,0.214
Garrett Hampson,KC,SS,30,113,213,16,49,13,1,0,16,7,2,14,59,2,2,0,0.23,0.275,0.3,0.575,7,0.23
Anthony Rendon,LAA,3B,34,57,206,21,45,10,0,0,14,6,1,23,35,0,4,5,0.218,0.307,0.267,0.574,12,0.218
Luis Arraez,MIA,2B,27,33,137,22,41,8,1,0,5,0,0,8,11,1,0,2,0.299,0.347,0.372,0.719,6,0.314
Dylan Carlson,STL,OF,26,59,121,12,24,5,0,0,11,0,1,12,37,0,3,2,0.198,0.275,0.24,0.515,5,0.209
Mark Canha,SF,OF,35,32,73,4,21,3,0,0,4,3,0,9,17,0,1,2,0.288,0.376,0.329,0.705,10,0.242
Robbie Grossman,CWS,OF,35,25,71,6,15,4,0,0,4,2,0,13,20,0,1,0,0.211,0.329,0.268,0.597,12,0.212
Robbie Grossman,KC,OF,35,16,32,2,4,0,0,0,2,0,0,5,13,0,0,1,0.125,0.263,0.125,0.388,12,0.212
Nick Senzel,CWS,OF,29,10,30,0,3,1,0,0,0,0,0,1,8,1,0,0,0.1,0.129,0.133,0.262,6,0.195
Dominic Smith,CIN,1B,29,9,26,4,5,2,0,0,0,0,0,3,11,0,0,0,0.192,0.276,0.269,0.545,8,0.233
Victor Robles,WSH,OF,27,14,25,3,3,0,0,0,2,4,1,5,9,1,1,1,0.12,0.281,0.12,0.401,8,0.307
Amed Rosario,LAD,SS,28,5,11,1,3,1,0,0,2,1,1,1,2,0,0,0,0.273,0.333,0.364,0.697,8,0.28
Nick Ahmed,SD,SS,34,2,7,1,1,0,0,0,0,0,0,0,2,0,0,0,0.143,0.143,0.143,0.286,11,0.229
