Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Yrs,BA
Marcus Semien,TEX,2B,34,159,650,101,154,27,2,23,74,8,3,64,105,0,1,3,0.237,0.308,0.391,0.699,12,0.237
Nick Castellanos,PHI,OF,32,162,606,80,154,30,4,23,86,6,2,41,139,0,2,10,0.254,0.311,0.431,0.742,12,0.254
William Contreras,MIL,C,26,155,595,99,167,37,2,23,92,9,2,78,139,0,3,3,0.281,0.365,0.466,0.831,5,0.281
Brandon Nimmo,NYM,OF,31,151,571,88,128,25,3,23,90,15,0,77,158,0,3,12,0.224,0.327,0.399,0.726,9,0.224
Zach Neto,LAA,SS,23,155,542,70,135,34,1,23,77,30,10,39,140,4,1,16,0.249,0.318,0.443,0.761,2,0.249
Brenton Doyle,COL,OF,26,149,542,82,141,24,4,23,72,30,5,46,153,4,8,3,0.26,0.317,0.446,0.763,2,0.26
Carlos Santana,MIN,1B,38,150,521,63,124,26,0,23,71,4,0,65,99,0,2,6,0.238,0.328,0.42,0.748,15,0.238
Joc Pederson,ARI,OF,32,132,367,62,101,17,1,23,64,7,4,55,105,1,3,18,0.275,0.393,0.515,0.908,11,0.275
Kyle Tucker,HOU,OF,27,78,277,56,80,13,0,23,49,11,0,56,54,0,2,1,0.289,0.408,0.585,0.993,7,0.289
Paul Goldschmidt,STL,1B,37,154,599,70,147,33,1,22,65,11,0,47,173,0,2,2,0.245,0.302,0.414,0.716,14,0.245
Corbin Carroll,ARI,OF,24,158,589,121,136,22,14,22,74,35,8,73,130,3,9,10,0.231,0.322,0.428,0.75,3,0.231
Freddie Freeman,LAD,1B,35,147,542,81,153,35,2,22,89,9,2,78,100,0,8,10,0.282,0.378,0.476,0.854,15,0.282
Heliot Ramos,SF,OF,25,121,475,54,128,23,3,22,72,6,1,37,135,0,4,2,0.269,0.322,0.469,0.791,3,0.269
Lawrence Butler,OAK,OF,24,125,412,63,108,24,2,22,57,18,0,35,108,0,4,0,0.262,0.317,0.49,0.807,2,0.262
Luke Raley,SEA,OF,30,137,404,58,98,19,2,22,58,11,2,27,135,2,2,20,0.243,0.32,0.463,0.783,4,0.243
Jarren Duran,BOS,OF,28,160,671,111,191,48,14,21,75,34,7,54,160,1,3,6,0.285,0.342,0.492,0.834,4,0.285
Alec Burleson,STL,OF,25,152,547,71,147,20,0,21,78,9,4,35,76,1,6,4,0.269,0.314,0.42,0.734,3,0.269
Oneil Cruz,PIT,SS,26,146,541,72,140,34,3,21,76,22,1,51,181,0,4,3,0.259,0.324,0.449,0.773,4,0.259
Jackson Chourio,MIL,OF,20,148,528,80,145,29,4,21,79,22,7,39,121,1,2,3,0.275,0.327,0.464,0.791,1,0.275
Seiya Suzuki,CHC,OF,30,132,512,74,145,27,6,21,73,16,6,63,160,0,4,6,0.283,0.366,0.482,0.848,3,0.283
Trea Turner,PHI,SS,31,121,505,88,149,25,0,21,62,19,4,27,98,0,1,6,0.295,0.338,0.469,0.807,10,0.295
Michael Busch,CHC,3B,26,152,496,73,123,28,2,21,65,2,1,63,162,0,4,4,0.248,0.335,0.44,0.775,2,0.248
Ryan Jeffers,MIN,C,27,122,412,56,93,22,0,21,64,3,0,32,94,1,6,14,0.226,0.3,0.432,0.732,5,0.226
Brandon Lowe,TB,2B,30,107,385,56,94,19,3,21,58,5,1,33,112,0,2,5,0.244,0.311,0.473,0.784,7,0.244
Jose Altuve,HOU,2B,34,153,628,94,185,31,0,20,65,22,7,47,119,0,0,7,0.295,0.35,0.439,0.789,14,0.295
Spencer Steer,CIN,3B,26,158,574,74,129,34,4,20,92,25,3,72,137,0,2,8,0.225,0.319,0.402,0.721,3,0.225
JJ Bleday,OAK,OF,26,159,572,74,139,43,4,20,60,2,3,67,125,1,0,2,0.243,0.324,0.437,0.761,3,0.243
Ryan McMahon,COL,3B,29,153,567,68,137,28,0,20,65,4,6,69,185,0,4,3,0.242,0.325,0.397,0.722,8,0.242
Julio Rodriguez,SEA,OF,23,143,567,76,155,17,0,20,68,24,5,38,156,0,2,6,0.273,0.325,0.409,0.734,3,0.273
CJ Abrams,WSH,SS,24,138,541,79,133,29,6,20,65,31,12,40,128,1,4,16,0.246,0.314,0.433,0.747,3,0.246
Logan O'Hoppe,LAA,C,24,136,479,64,117,17,1,20,56,2,3,33,155,1,1,8,0.244,0.303,0.409,0.712,3,0.244
Andrew Benintendi,CWS,OF,30,135,477,50,109,20,0,20,64,3,2,41,96,0,3,1,0.229,0.289,0.396,0.685,9,0.229
Will Smith,LAD,C,29,128,476,77,118,24,2,20,75,1,1,51,105,0,8,9,0.248,0.327,0.433,0.76,6,0.248
Andrew McCutchen,PIT,DH,38,120,448,66,104,18,1,20,50,3,2,58,133,0,2,7,0.232,0.328,0.411,0.739,16,0.232
Michael Conforto,SF,OF,31,130,438,56,104,27,3,20,66,0,1,42,118,0,3,5,0.237,0.309,0.45,0.759,9,0.237
Jeimer Candelario,CIN,3B,30,112,427,47,96,23,2,20,56,4,3,27,114,0,3,6,0.225,0.279,0.429,0.708,9,0.225
Jo Adell,LAA,OF,25,130,405,54,84,15,2,20,62,15,10,35,126,0,3,7,0.207,0.28,0.402,0.682,5,0.207
Adley Rutschman,BAL,C,26,148,571,68,143,21,1,19,79,1,0,58,103,0,7,2,0.25,0.318,0.391,0.709,3,0.25
