Player,Yrs,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
J.T. Realmuto,11,99,380,50,101,18,1,14,47,27,102,2,2,.266
Cody Bellinger,8,130,516,72,137,23,3,18,78,45,89,9,2,.266
Mark Vientos,3,111,413,58,110,22,0,27,71,33,135,0,0,.266
Jeremy Pena,3,157,602,78,160,28,2,15,70,25,111,20,6,.266
Gabriel Moreno,3,97,305,39,81,18,1,5,45,41,52,3,1,.266
Elias Diaz,10,96,325,27,86,20,0,6,39,20,69,0,0,.265
Nathaniel Lowe,6,140,486,62,129,16,1,16,69,71,125,2,0,.265
Joey Bart,5,80,253,38,67,11,0,13,45,22,73,0,0,.265
Spencer Horwitz,2,97,328,46,87,19,0,12,40,42,70,0,0,.265
Xander Bogaerts,12,111,428,50,113,15,1,11,44,28,79,13,3,.264
Ryan O'Hearn,7,142,443,60,117,21,3,15,59,46,69,3,1,.264
Michael Harris II,3,110,440,58,116,14,3,16,48,23,94,10,6,.264
Will Brennan,3,114,330,37,87,13,2,8,30,19,48,4,2,.264
Jordan Westburg,2,107,416,57,110,26,5,18,63,22,97,6,3,.264
James Wood,1,79,295,43,78,13,4,9,41,39,97,14,8,.264
Jacob Stallings,9,82,243,31,64,17,1,9,36,27,65,0,0,.263
Ernie Clement,4,139,434,48,114,21,3,12,51,11,41,12,3,.263
David Fry,2,122,335,44,88,18,1,14,51,42,84,4,1,.263
Willson Contreras,9,84,301,48,79,17,0,15,36,45,96,4,1,.262
Riley Greene,3,137,512,82,134,27,6,24,74,64,156,4,2,.262
Vinnie Pasquantino,3,131,496,64,130,30,2,19,97,40,71,1,0,.262
Lawrence Butler,2,125,412,63,108,24,2,22,57,35,108,18,0,.262
Harold Ramirez,6,73,238,28,62,7,1,2,29,5,50,6,2,.261
Alex Bregman,9,145,581,79,151,30,2,26,75,44,86,3,1,.260
LaMonte Wade Jr.,6,117,331,45,86,16,0,8,34,62,90,2,1,.260
Brenton Doyle,2,149,542,82,141,24,4,23,72,46,153,30,5,.260
Colt Keith,1,148,516,54,134,15,4,13,61,36,110,7,1,.260
Justin Turner,16,139,460,59,119,24,0,11,55,59,95,0,2,.259
Ramon Laureano,7,98,286,35,74,16,1,11,33,15,96,8,3,.259
Oneil Cruz,4,146,541,72,140,34,3,21,76,51,181,22,1,.259
Trevor Larnach,4,112,355,59,92,17,0,15,52,40,89,4,1,.259
Matt Wallner,3,75,220,26,57,17,1,13,37,24,95,3,0,.259
Michael Massey,3,100,332,45,86,17,2,14,45,15,56,1,0,.259
Sal Frelick,2,145,475,66,123,22,4,2,32,39,78,18,3,.259
Elly De La Cruz,2,160,618,105,160,36,10,25,76,69,218,67,16,.259
Tyler Stephenson,5,138,457,69,118,26,1,19,66,48,117,1,0,.258
Josh Smith,3,149,523,67,135,30,1,13,62,46,121,11,2,.258
Gleyber Torres,7,154,587,80,151,26,0,15,63,65,136,4,3,.257
Edmundo Sosa,6,90,249,39,64,12,4,7,31,13,66,7,1,.257
Matt Vierling,4,144,518,80,133,28,5,16,57,41,121,6,1,.257
Charlie Blackmon,14,124,449,59,115,24,5,12,52,43,86,6,2,.256
Eugenio Suarez,11,158,571,90,146,28,2,30,101,49,176,2,1,.256
Austin Riley,6,110,425,63,109,26,2,19,56,37,118,0,0,.256
Jazz Chisholm Jr.,5,147,562,74,144,21,4,24,73,53,152,40,10,.256
Jacob Young,2,150,468,75,120,24,1,3,36,30,102,33,10,.256
Austin Hays,7,85,235,26,60,18,0,5,20,9,59,2,2,.255
Nick Castellanos,12,162,606,80,154,30,4,23,86,41,139,6,2,.254
Ramon Urias,5,100,272,39,69,9,2,11,37,23,55,1,1,.254
Brice Turang,2,155,559,72,142,24,4,7,57,50,105,50,6,.254
Lenyn Sosa,3,100,351,28,89,13,0,8,35,12,77,3,1,.254
Max Kepler,10,105,368,43,93,21,1,8,42,22,80,1,0,.253
Jesse Winker,8,145,430,63,109,23,0,14,58,63,106,14,4,.253
Alejandro Kirk,5,103,340,23,86,19,1,5,54,35,51,0,0,.253
Austin Martin,1,93,233,41,59,18,1,1,16,20,47,7,3,.253
Wyatt Langford,1,134,499,74,126,25,4,16,74,51,115,19,3,.253
Wilyer Abreu,2,132,399,59,101,33,2,15,58,40,125,8,3,.253
Andres Gimenez,5,152,583,64,147,22,1,9,63,26,97,30,5,.252
Jesus Sanchez,5,149,489,60,123,25,1,18,64,41,140,16,2,.252
Christian Walker,10,130,479,72,120,26,0,26,84,55,133,2,2,.251
Jake Cave,7,123,323,42,81,16,5,7,37,18,98,5,2,.251
Willy Adames,7,161,610,93,153,33,0,32,112,74,173,21,4,.251
Ozzie Albies,8,99,399,52,100,29,1,10,53,27,65,8,1,.251
Gavin Lux,5,139,439,59,110,24,2,10,50,44,110,5,2,.251
Gio Urshela,9,128,432,34,108,19,1,9,52,23,72,0,0,.250
Jake Burger,4,137,535,68,134,23,1,29,76,31,150,1,1,.250
Adley Rutschman,3,148,571,68,143,21,1,19,79,58,103,1,0,.250
Nolan Schanuel,2,147,519,62,130,19,0,13,54,68,103,10,1,.250
Josh Bell,9,145,538,62,134,23,2,19,71,51,120,0,1,.249
Brandon Marsh,4,135,418,55,104,17,3,16,60,50,154,19,3,.249
Zach Neto,2,155,542,70,135,34,1,23,77,39,140,30,10,.249
Tommy Pham,11,116,440,49,109,20,3,9,39,35,106,7,3,.248
Tyrone Taylor,6,130,319,47,79,22,3,7,35,19,80,11,2,.248
Kyle Schwarber,10,150,573,110,142,22,0,38,104,106,197,5,3,.248
Mike Tauchman,7,109,298,50,74,12,1,7,29,47,70,6,2,.248
Will Smith,6,128,476,77,118,24,2,20,75,51,105,1,1,.248
Jonathan India,4,151,533,84,132,28,2,15,58,80,125,13,2,.248
Michael Busch,2,152,496,73,123,28,2,21,65,63,162,2,1,.248
Andy Pages,1,116,403,65,100,23,1,13,46,29,108,1,2,.248
David Hamilton,2,98,294,47,73,17,1,8,28,22,80,33,4,.248
Matt Olson,9,162,600,78,148,37,1,29,98,71,170,0,0,.247
Matt Chapman,8,154,575,98,142,39,2,27,78,64,158,15,2,.247
Willi Castro,6,158,558,89,138,31,5,12,60,51,150,14,9,.247
Oswaldo Cabrera,3,109,299,47,74,11,0,8,36,21,63,4,2,.247
Ildemaro Vargas,8,95,272,21,67,16,0,1,30,19,31,9,4,.246
Taylor Ward,7,156,585,73,144,26,2,25,75,63,163,6,4,.246
Santiago Espinal,5,118,357,32,88,12,0,9,45,24,54,11,1,.246
Andrew Vaughn,4,149,570,55,140,30,1,19,70,38,132,2,0,.246
CJ Abrams,3,138,541,79,133,29,6,20,65,40,128,31,12,.246
Ezequiel Duran,3,92,268,26,66,11,0,3,20,14,63,1,2,.246
Ceddanne Rafaela,2,152,544,70,134,23,5,15,75,15,151,19,10,.246
Paul Goldschmidt,14,154,599,70,147,33,1,22,65,47,173,11,0,.245
Willie Calhoun,8,68,229,26,56,16,0,5,20,23,31,0,1,.245
Bryson Stott,3,148,506,65,124,19,2,11,57,53,93,32,3,.245
Brandon Lowe,7,107,385,56,94,19,3,21,58,33,112,5,1,.244
Parker Meadows,2,82,270,39,66,12,6,9,28,25,76,9,4,.244
Logan O'Hoppe,3,136,479,64,117,17,1,20,56,33,155,2,3,.244
Lars Nootbaar,4,109,348,39,85,18,3,12,45,52,79,7,3,.244
Rowdy Tellez,7,131,383,38,93,18,0,13,56,31,89,1,0,.243
Ian Happ,8,153,569,89,138,34,2,25,86,80,168,13,2,.243
Josh Naylor,6,152,563,84,137,27,0,31,108,58,105,6,2,.243
Luke Raley,4,137,404,58,98,19,2,22,58,27,135,11,2,.243
JJ Bleday,3,159,572,74,139,43,4,20,60,67,125,2,3,.243
Anthony Volpe,2,160,637,90,155,27,7,12,60,42,156,28,7,.243
Johan Rojas,2,120,338,47,82,12,3,3,32,13,69,25,4,.243
Mark Canha,10,125,393,46,95,20,0,7,42,51,96,7,0,.242
Ryan McMahon,8,153,567,68,137,28,0,20,65,69,185,4,6,.242
Dansby Swanson,9,149,534,82,129,27,2,16,66,54,144,19,3,.242
Wenceel Perez,1,112,389,51,94,16,6,9,37,32,92,9,5,.242
Colton Cowser,2,153,499,77,121,24,3,24,69,52,172,9,4,.242
Jorge Soler,11,142,493,84,119,34,1,21,64,68,141,1,0,.241
Tyler O'Neill,7,113,411,74,99,18,0,31,61,53,159,4,0,.241
Andy Ibanez,4,99,224,30,54,9,1,5,32,15,63,2,3,.241
Jake Cronenworth,5,155,577,72,139,29,3,17,83,61,118,5,2,.241
Nicky Lopez,6,124,398,40,96,12,3,1,21,37,67,5,7,.241
Josh Lowe,4,106,353,37,85,19,2,10,34,32,123,25,1,.241
Triston Casas,3,63,212,28,51,8,0,13,32,30,77,0,1,.241
Blake Perkins,2,121,383,54,92,13,2,6,43,42,108,23,5,.240
Pete Alonso,6,162,608,91,146,31,0,34,88,70,172,3,0,.240
Abraham Toro,6,94,337,34,81,17,1,6,26,20,62,4,2,.240
Joey Ortiz,2,142,440,58,105,25,6,11,60,56,103,11,6,.239
Travis d'Arnaud,12,99,307,40,73,16,0,15,48,24,89,1,0,.238
Carlos Santana,15,150,521,63,124,26,0,23,71,65,99,4,0,.238
Carson Kelly,9,91,281,32,67,9,1,9,37,25,55,0,0,.238
Manuel Margot,9,129,315,37,75,17,1,4,31,21,54,5,0,.238
Eloy Jimenez,6,98,324,25,77,14,0,6,23,22,70,3,0,.238
Jeff McNeil,7,129,424,57,101,26,0,12,44,35,68,5,1,.238
Isaac Paredes,5,153,542,64,129,25,1,19,80,76,105,1,1,.238
Emmanuel Rivera,4,123,265,24,63,9,2,5,29,26,69,2,0,.238
